id,block,far_mean,far_median,far_stddev,ladu_mean,ladu_median,ladu_stddev,os_mean,os_median,os_stddev
707,278,0.93,1.0,0.17,963.61,888.33,173.5,56.76,55.88,11.74
711,346,1.94,1.94,0.21,565.71,565.71,45.79,36.19,36.19,7.46
712,343,1.2,0.85,0.77,1986.93,1565.0,1805.18,50.56,63.66,26.49
713,341,1.39,1.48,0.29,1307.14,800.5,1234.16,33.67,28.04,22.09
714,340,0.93,0.93,0.0,8240.0,8240.0,0.0,6.55,6.55,0.0
715,339,1.61,1.89,0.59,1863.7,2025.5,1033.67,26.53,21.08,13.14
716,338,1.57,1.48,0.69,1076.94,1096.75,581.09,64.9,70.19,13.51
717,342,1.36,1.25,0.42,2325.38,2320.16,1273.37,35.24,35.33,18.24
718,347,1.25,1.23,0.47,1418.58,847.25,1445.91,45.36,43.12,17.54
719,350,0.71,0.21,0.7,5150.43,6032.0,3477.73,67.07,79.1,17.14
720,351,0.56,0.56,0.45,10882.65,10882.65,5046.35,79.83,79.83,8.12
722,359,1.71,1.49,0.61,839.21,756.0,372.72,35.96,32.59,18.54
723,361,1.19,1.49,0.7,710.39,727.91,144.58,51.18,53.87,11.79
725,373,0.88,0.82,0.47,1775.81,1341.0,1410.13,60.39,66.87,23.07
726,375,2.34,2.3,0.5,444.97,394.0,102.14,16.82,15.11,5.87
737,274,0.53,0.45,0.35,37014.75,7088.0,54971.59,73.8,73.5,5.55
738,271,0.42,0.42,0.0,74973.0,74973.0,0.0,57.66,57.66,0.0
739,326,0.57,0.49,0.26,3179.27,2808.3,1747.49,46.41,54.91,29.98
740,311,0.53,0.55,0.05,2842.0,2245.0,939.17,79.57,76.44,7.35
749,46,0.61,0.62,0.19,20710.74,9932.0,23460.17,60.85,61.6,17.64
